missing=0 unexpected=0
num_classes=1 test_conf=0.001 nms=0.7 test_size=(800, 1440)
  1181.000 424.500 1199.000 462.000 0.02715
  662.500 184.125 685.500 193.875 0.02555
  1188.000 446.750 1204.000 477.750 0.02545
  39.875 265.750 67.562 281.250 0.02463
  691.500 277.500 699.500 291.000 0.02456
  933.500 304.000 965.500 329.500 0.02377
  986.500 477.500 1027.000 515.500 0.02327
  1190.000 426.500 1206.000 457.500 0.02306
  760.500 293.000 770.500 309.000 0.02091
  157.875 337.000 172.625 361.000 0.02080
  575.000 470.250 595.000 516.500 0.01964
  1023.000 380.750 1061.000 414.250 0.01947
  370.500 298.000 403.000 322.500 0.01748
  1185.000 450.500 1209.000 489.500 0.01705
  1020.500 368.750 1033.000 391.250 0.01699
  889.000 412.000 945.000 443.500 0.01697
  428.250 330.750 444.250 356.750 0.01628
  280.750 244.000 302.250 257.000 0.01626
  865.500 347.000 891.500 369.500 0.01507
  858.000 358.000 903.000 399.000 0.01499
  1169.000 417.500 1205.000 457.000 0.01331
  887.000 396.000 925.000 425.000 0.01306
  661.500 183.500 679.500 194.250 0.01297
  582.000 213.125 613.000 226.625 0.01281
  1073.000 301.000 1103.000 340.000 0.01213
  1084.000 296.250 1102.000 326.750 0.01172
  715.000 260.250 729.000 279.750 0.01171
  146.500 258.250 175.500 275.250 0.01160
  1081.000 300.500 1103.000 337.500 0.01142
  8.500 437.000 130.250 487.500 0.01139
  751.500 248.875 762.500 262.750 0.01133
  397.250 310.250 434.250 336.250 0.01059
  1240.000 446.500 1260.000 481.500 0.01011
  863.000 303.500 874.000 328.000 0.01004
  1084.000 382.500 1102.000 413.500 0.00998
  185.250 326.000 214.500 351.500 0.00958
  151.500 254.375 183.250 272.000 0.00923
  153.375 257.750 176.625 274.250 0.00920
  753.000 249.750 765.000 263.250 0.00917
  1211.000 487.000 1231.000 525.500 0.00915
  294.250 409.500 314.750 445.500 0.00911
  900.500 319.750 914.500 345.750 0.00910
  891.500 264.000 934.500 295.000 0.00892
  995.000 483.000 1028.000 515.000 0.00890
  1132.000 363.750 1150.000 391.250 0.00827
  677.000 238.750 692.000 251.500 0.00788
  724.500 233.250 739.500 248.500 0.00777
  272.500 357.750 343.000 387.250 0.00775
  292.000 412.000 311.000 446.000 0.00696
  1164.000 423.000 1194.000 462.500 0.00694
  1139.000 365.500 1155.000 393.500 0.00683
  700.500 247.625 716.500 263.750 0.00682
  1140.000 386.000 1168.000 411.000 0.00682
  1085.000 291.750 1099.000 316.750 0.00671
  1221.000 410.250 1239.000 445.250 0.00659
  430.250 333.500 445.250 359.500 0.00659
  1054.000 407.500 1068.000 432.500 0.00620
  976.000 338.000 1013.000 379.500 0.00618
  0.000 285.000 151.500 481.000 0.00608
  1068.000 303.750 1086.000 338.250 0.00605
  471.750 382.250 490.750 413.250 0.00593
  3.062 422.000 140.500 489.000 0.00587
  365.750 315.250 386.250 338.250 0.00585
  377.250 268.250 420.250 292.750 0.00574
  1066.000 412.750 1082.000 439.750 0.00574
  1083.000 293.000 1101.000 321.500 0.00571
  668.500 183.875 693.500 194.375 0.00562
  131.000 554.000 198.500 677.000 0.00554
  40.531 263.500 88.250 282.000 0.00553
  137.750 258.000 173.500 276.000 0.00553
  368.250 306.250 405.750 339.250 0.00551
  1176.000 419.000 1204.000 453.500 0.00550
  109.062 451.000 128.000 492.500 0.00534
  1221.000 418.000 1239.000 451.000 0.00529
  1190.000 436.000 1208.000 471.000 0.00523
  512.500 215.875 555.500 230.625 0.00514
  1000.500 463.500 1022.500 499.500 0.00506
  927.000 320.250 981.000 357.750 0.00505
  1078.000 294.500 1098.000 322.500 0.00501
  1118.000 434.750 1138.000 461.250 0.00500
  110.562 560.000 169.875 668.000 0.00496
  1143.000 382.750 1165.000 407.750 0.00493
  615.000 212.750 635.000 223.000 0.00492
  1260.000 449.750 1276.000 478.750 0.00491
  822.000 414.250 840.000 446.250 0.00489
  1072.000 446.000 1098.000 479.000 0.00489
  106.625 382.250 176.125 421.250 0.00482
  886.500 411.500 912.500 442.500 0.00476
  901.500 378.000 917.500 403.000 0.00474
  131.250 450.750 149.000 492.250 0.00470
  1241.000 411.250 1261.000 448.750 0.00468
  1211.000 478.500 1233.000 521.000 0.00464
  1160.000 431.750 1186.000 464.750 0.00456
  898.500 425.500 945.500 464.000 0.00452
  615.500 210.875 635.500 220.625 0.00440
  185.375 330.500 206.625 356.500 0.00439
  1079.000 290.750 1099.000 317.750 0.00432
  1162.000 412.250 1204.000 448.250 0.00431
  690.500 230.000 703.500 243.750 0.00426
  1116.000 437.750 1136.000 472.250 0.00421
  1015.000 414.000 1063.000 440.000 0.00416
  297.750 405.250 317.250 442.250 0.00412
  1003.500 481.750 1029.000 514.500 0.00408
  1085.000 389.000 1101.000 419.500 0.00403
  665.500 184.375 691.500 196.625 0.00402
  277.000 404.500 295.000 438.500 0.00401
  70.625 450.750 95.375 471.750 0.00395
  1079.000 291.750 1131.000 332.750 0.00395
  154.000 257.750 193.500 279.750 0.00385
  628.000 209.250 661.000 220.750 0.00383
  360.750 359.750 375.750 386.250 0.00382
  210.250 316.500 222.250 338.000 0.00381
  997.500 470.000 1025.000 509.000 0.00381
  975.000 357.000 989.000 382.000 0.00377
  1154.000 391.250 1174.000 415.750 0.00376
  252.750 252.625 291.250 277.250 0.00374
  1232.000 481.750 1250.000 529.000 0.00372
  879.000 261.250 892.000 287.750 0.00365
  587.000 212.875 618.000 225.625 0.00363
  628.500 211.250 661.500 223.750 0.00362
  1163.000 467.500 1189.000 497.000 0.00358
  1073.000 414.250 1111.000 452.750 0.00356
  634.000 192.250 655.000 204.000 0.00356
  1139.000 379.250 1167.000 407.750 0.00356
  79.438 381.500 161.750 415.500 0.00349
  1105.000 386.750 1123.000 411.750 0.00345
  589.500 213.375 606.500 226.375 0.00343
  821.000 406.250 838.000 437.750 0.00332
  859.000 344.250 889.000 368.250 0.00330
  864.000 341.500 888.000 364.500 0.00325
  620.500 450.500 641.500 482.500 0.00324
  636.500 210.625 666.500 223.875 0.00323
  693.500 293.000 702.500 310.000 0.00318
  1068.000 415.000 1088.000 441.000 0.00316
  837.000 330.500 848.000 353.500 0.00315
  813.000 258.250 829.000 275.750 0.00314
  1086.000 301.250 1104.000 329.250 0.00311
  513.500 217.250 553.500 234.500 0.00308
  691.000 279.000 702.000 298.500 0.00306
  348.750 363.500 366.750 390.500 0.00306
  751.500 246.000 763.500 261.500 0.00300
  637.500 208.875 664.500 220.125 0.00299
  1100.000 385.500 1124.000 414.000 0.00294
  927.500 393.750 946.500 433.750 0.00293
  576.500 467.750 593.500 499.250 0.00290
  115.938 260.500 145.625 275.500 0.00288
  146.625 259.750 177.625 282.250 0.00285
  267.750 407.500 286.250 443.500 0.00283
  774.000 290.000 786.000 309.500 0.00283
  138.250 337.000 157.000 365.500 0.00278
  546.500 213.875 565.500 225.875 0.00274
  206.250 327.750 223.750 349.750 0.00273
  619.000 190.250 656.000 204.000 0.00270
  386.500 311.000 408.500 336.500 0.00266
  844.000 316.500 857.000 336.000 0.00266
  299.500 406.500 321.500 444.500 0.00265
  561.000 212.750 606.000 227.000 0.00264
  1008.000 458.500 1023.000 490.500 0.00263
  231.625 245.125 257.750 259.250 0.00256
  132.625 335.500 155.125 367.500 0.00253
  971.500 456.750 997.500 493.750 0.00244
  538.000 214.375 566.000 227.625 0.00242
  270.500 244.625 302.500 258.750 0.00242
  1052.000 404.750 1070.000 429.250 0.00241
  1213.000 474.500 1237.000 517.000 0.00241
  263.500 215.250 280.000 227.500 0.00241
  216.625 306.500 246.625 328.500 0.00238
  615.000 212.125 645.000 223.875 0.00235
  152.375 337.500 171.375 362.500 0.00233
  581.500 155.500 606.500 170.750 0.00231
  739.000 227.625 756.000 241.875 0.00227
  1144.000 478.000 1162.000 512.000 0.00219
  927.000 385.250 947.000 428.250 0.00219
  1281.000 498.750 1323.000 515.500 0.00219
  849.000 317.750 861.000 337.750 0.00215
  178.750 265.750 218.750 284.250 0.00210
  79.125 377.750 106.750 414.750 0.00210
  677.000 236.000 695.000 250.500 0.00209
  1245.000 411.500 1265.000 446.000 0.00208
  102.125 330.500 127.000 370.000 0.00208
  168.875 323.750 184.375 348.250 0.00206
  280.750 398.250 301.250 432.250 0.00206
  839.500 313.750 855.500 334.750 0.00205
  517.500 216.500 567.500 234.750 0.00204
  842.000 325.500 855.000 346.500 0.00203
  964.000 345.750 978.000 368.750 0.00196
  376.000 297.750 400.500 317.250 0.00196
  135.625 453.250 152.625 491.250 0.00194
  415.750 324.750 431.250 351.250 0.00194
  756.500 291.000 771.500 312.500 0.00193
  156.625 265.750 189.375 287.250 0.00192
  251.125 257.250 290.750 281.250 0.00192
  110.500 329.250 134.500 369.250 0.00191
  189.750 265.250 222.250 283.750 0.00191
  123.562 337.500 153.250 374.500 0.00190
  882.000 305.250 898.000 327.250 0.00190
  172.250 262.250 200.250 281.750 0.00189
  108.000 336.000 133.250 375.500 0.00187
  164.500 271.250 193.500 289.250 0.00186
  857.000 345.750 890.000 374.250 0.00186
  131.500 239.500 181.250 279.000 0.00186
  1073.000 417.000 1091.000 445.000 0.00185
  1062.000 410.000 1082.000 438.500 0.00185
  1152.000 466.000 1176.000 497.500 0.00185
  1235.000 480.250 1255.000 514.500 0.00184
  148.000 319.500 164.000 347.500 0.00184
  171.250 267.000 201.250 284.500 0.00184
  1056.000 408.000 1076.000 437.000 0.00182
  616.500 209.375 650.500 221.125 0.00181
  167.375 267.750 197.125 285.750 0.00181
  927.500 338.000 941.500 366.500 0.00180
  928.000 403.750 946.000 438.250 0.00180
  1083.000 440.750 1111.000 467.250 0.00180
  576.000 154.375 617.000 175.125 0.00179
  382.500 296.500 411.500 317.000 0.00179
  842.000 278.250 852.000 294.250 0.00179
  346.750 372.500 368.250 400.000 0.00178
  388.500 312.250 414.000 338.250 0.00178
  863.000 299.250 878.000 322.750 0.00178
  121.812 345.000 153.375 382.000 0.00177
  1200.000 427.000 1216.000 456.500 0.00176
  198.875 326.250 215.625 348.250 0.00172
  828.500 309.250 852.500 339.250 0.00172
  177.250 351.250 212.000 385.250 0.00171
  830.000 341.250 843.000 367.750 0.00170
  958.500 445.500 982.500 480.000 0.00169
  1210.000 412.750 1232.000 447.250 0.00169
  160.000 272.000 184.250 289.500 0.00168
  67.062 333.500 91.188 381.500 0.00167
  532.500 215.500 567.500 232.250 0.00167
  947.500 16.031 1094.000 132.250 0.00167
  274.000 -33.875 422.000 251.375 0.00167
  1218.000 418.250 1236.000 450.250 0.00167
  367.500 360.750 383.000 390.250 0.00164
  251.875 245.250 295.000 258.500 0.00164
  182.750 328.750 201.250 350.750 0.00163
  661.500 252.625 670.500 264.000 0.00162
  617.500 190.625 636.500 202.625 0.00160
  918.000 336.250 932.000 363.250 0.00160
  152.000 269.500 180.000 290.500 0.00159
  178.750 323.500 195.750 345.500 0.00159
  143.000 333.250 161.000 362.250 0.00156
  742.500 248.750 757.500 263.250 0.00156
  631.500 192.125 657.500 206.125 0.00155
  123.312 330.750 151.500 368.250 0.00152
  469.500 378.500 487.000 410.500 0.00152
  581.000 212.750 620.000 231.750 0.00151
  632.500 215.875 656.500 233.375 0.00151
  176.875 353.250 210.625 405.250 0.00151
  932.500 319.000 981.500 350.500 0.00151
  130.250 339.750 156.500 377.250 0.00150
  72.562 317.750 98.062 349.750 0.00149
  244.500 411.250 263.250 451.750 0.00149
  111.500 319.750 137.625 358.750 0.00149
  736.500 227.125 751.500 243.125 0.00148
  1142.000 311.500 1204.000 348.000 0.00148
  -43.250 -48.000 960.000 1909.000 0.00148
  838.000 417.500 851.000 442.500 0.00147
  101.500 345.250 125.875 378.750 0.00146
  577.000 468.750 596.000 507.750 0.00145
  139.250 333.250 155.250 360.750 0.00145
  137.125 340.000 157.625 372.000 0.00145
  418.000 318.250 436.000 342.750 0.00144
  1141.000 476.500 1159.000 506.500 0.00142
  637.500 189.875 656.500 203.625 0.00142
  282.250 243.500 311.750 258.000 0.00141
  428.500 312.250 450.000 346.250 0.00140
  547.500 212.125 564.500 224.375 0.00139
  829.000 305.250 853.000 329.750 0.00138
  837.000 308.000 855.000 331.000 0.00138
  850.500 324.500 863.500 350.500 0.00138
  875.000 326.000 888.000 346.000 0.00137
  143.125 263.500 174.875 291.000 0.00137
  647.000 206.625 677.000 221.875 0.00137
  1049.000 299.500 1087.000 338.000 0.00137
  469.750 384.000 497.250 417.500 0.00136
  843.000 310.500 857.000 332.000 0.00135
  191.375 321.250 211.875 345.750 0.00135
  640.500 194.125 657.500 205.375 0.00135
  96.812 330.000 120.188 366.500 0.00134
  778.500 288.250 789.500 306.750 0.00134
  133.000 330.500 151.500 359.500 0.00133
  1070.000 412.750 1092.000 442.250 0.00133
  744.500 234.125 760.500 253.625 0.00133
  902.500 319.250 917.500 346.250 0.00133
  750.500 192.125 781.500 205.875 0.00133
  832.500 320.500 849.500 350.500 0.00133
  80.938 379.250 111.688 419.750 0.00132
  429.000 525.500 452.000 574.500 0.00131
  97.250 336.250 121.750 373.750 0.00131
  113.562 260.750 147.750 279.750 0.00130
  1205.000 316.750 1233.000 352.750 0.00130
  494.500 276.500 540.500 302.000 0.00130
  109.562 350.750 131.250 379.250 0.00130
  1244.000 417.750 1264.000 450.750 0.00130
  184.000 333.250 201.000 355.750 0.00129
  226.125 550.000 305.750 716.000 0.00128
  100.562 553.500 158.000 661.500 0.00128
  897.500 321.500 909.500 345.500 0.00128
  926.000 411.750 945.000 441.750 0.00128
  73.750 315.250 99.625 341.750 0.00126
  147.875 322.750 164.625 354.250 0.00126
  827.500 342.500 840.500 369.000 0.00126
  883.000 309.250 897.000 331.250 0.00126
  814.500 405.500 835.500 442.000 0.00126
  943.500 327.250 978.500 360.750 0.00125
  569.500 213.500 610.500 232.500 0.00125
  83.125 376.250 112.125 408.250 0.00125
  649.500 210.375 679.500 226.375 0.00123
  579.500 154.500 600.500 170.250 0.00123
  446.500 315.500 464.500 343.500 0.00123
  297.250 412.500 321.250 451.500 0.00122
  708.000 226.125 724.000 241.125 0.00122
  1240.000 424.000 1260.000 453.000 0.00122
  75.938 380.000 100.188 416.500 0.00122
  289.250 396.500 308.250 424.000 0.00121
  359.000 363.250 376.000 395.250 0.00121
  176.500 260.500 218.000 283.500 0.00121
  638.500 214.125 668.500 233.375 0.00121
  84.750 348.000 101.750 380.500 0.00120
  851.000 347.000 865.000 369.000 0.00120
  171.625 250.000 205.625 275.000 0.00119
  110.812 306.750 144.000 349.750 0.00119
  481.000 276.000 540.000 304.000 0.00119
  972.000 341.500 985.000 368.000 0.00118
  101.375 354.000 126.625 383.500 0.00118
  615.500 190.375 657.500 208.875 0.00118
  143.625 320.500 160.375 348.000 0.00118
  634.500 223.250 655.500 243.750 0.00117
  426.750 325.750 442.750 352.250 0.00117
  858.500 337.000 881.500 361.000 0.00116
  1023.000 346.250 1037.000 370.750 0.00116
  1215.000 473.000 1237.000 507.000 0.00115
  122.625 324.000 149.875 361.000 0.00115
  1027.000 384.250 1065.000 418.250 0.00114
  397.750 525.500 422.750 572.500 0.00114
  670.500 181.500 712.500 195.500 0.00114
  126.250 260.750 170.250 283.250 0.00113
  508.500 459.250 534.500 485.250 0.00113
  1198.000 435.750 1218.000 471.250 0.00113
  424.500 311.750 445.500 342.250 0.00113
  1191.000 414.500 1217.000 448.000 0.00112
  428.000 516.000 452.500 567.000 0.00112
  936.000 19.031 1053.000 128.750 0.00112
  641.000 225.625 664.000 244.625 0.00111
  1171.000 463.500 1191.000 495.500 0.00111
  112.875 545.500 187.625 680.500 0.00111
  67.688 347.750 94.562 390.750 0.00110
  1010.000 337.000 1034.000 364.000 0.00110
  1084.000 411.750 1104.000 438.250 0.00109
  961.500 444.250 982.500 471.750 0.00109
  976.000 356.250 993.000 382.250 0.00109
  764.000 459.500 785.000 505.500 0.00108
  228.500 245.375 259.000 266.500 0.00108
  142.125 339.500 159.625 368.000 0.00108
  363.000 361.250 380.000 394.750 0.00108
  162.500 351.250 209.250 387.750 0.00107
  746.500 229.000 760.500 241.750 0.00105
  101.938 323.000 125.938 356.500 0.00105
  1001.000 364.500 1021.000 387.000 0.00105
  365.750 318.500 388.250 344.000 0.00105
  92.000 327.500 111.250 359.500 0.00104
  1023.000 380.000 1057.000 407.000 0.00104
  807.500 255.000 828.500 275.000 0.00103
  1169.000 411.750 1205.000 441.750 0.00103
  234.125 243.500 255.625 263.500 0.00103
  739.500 224.250 757.500 239.000 0.00102
  127.688 350.250 158.125 388.750 0.00102
  1247.000 447.000 1279.000 480.500 0.00102
  692.500 294.250 703.500 312.750 0.00102
  448.000 325.250 465.500 355.750 0.00102
  119.250 355.250 153.000 391.250 0.00101
  177.500 317.500 198.750 340.500 0.00101
  1239.000 293.000 1281.000 317.500 0.00101
  852.000 320.500 864.000 341.000 0.00101
  1147.000 390.500 1169.000 415.000 0.00101
  1138.000 373.250 1176.000 406.250 0.00100
  561.000 260.500 590.000 278.000 0.00100
  127.562 449.500 144.000 480.000 0.00100
frame 2: 451 dets
  616.500 568.000 708.500 666.000 0.91994
  712.500 426.250 778.500 516.500 0.91939
  1105.000 613.000 1283.000 717.000 0.89507
  473.750 458.750 550.000 525.500 0.89137
  474.000 384.000 532.500 440.000 0.88444
  586.000 365.000 633.000 403.500 0.86362
  545.000 330.000 586.000 372.000 0.84415
  594.000 309.500 628.000 338.500 0.83862
  753.000 314.250 775.000 347.250 0.81222
  558.000 469.250 592.000 527.500 0.80717
  1082.000 442.000 1136.000 486.500 0.79836
  1151.000 466.000 1225.000 512.000 0.77707
  709.500 266.250 725.500 284.750 0.76854
  737.000 266.500 755.000 285.000 0.76664
  115.688 448.000 141.750 501.000 0.75875
  930.500 426.250 998.500 500.750 0.72546
  268.750 416.250 288.250 460.250 0.72228
  1205.000 529.500 1235.000 585.500 0.71935
  254.250 411.500 274.250 457.000 0.71145
  412.750 520.500 438.750 570.500 0.70609
  1120.000 410.250 1204.000 453.750 0.70115
  330.500 371.000 360.000 398.500 0.67411
  828.000 407.250 847.000 444.250 0.67331
  411.000 533.500 439.000 585.500 0.66881
  895.500 414.000 950.500 463.500 0.66813
  228.000 339.250 308.500 372.250 0.66090
  718.500 257.750 733.500 274.250 0.65666
  1230.000 412.750 1250.000 451.250 0.61217
  1204.000 541.000 1236.000 596.000 0.59670
  707.000 289.000 718.000 307.000 0.57210
  721.000 246.125 737.000 262.000 0.56743
  698.500 252.250 713.500 266.250 0.53498
  304.000 317.000 358.000 348.500 0.52097
  1154.000 463.500 1182.000 509.000 0.47997
  465.750 381.500 486.750 418.500 0.41223
  697.000 248.250 713.000 264.750 0.39359
  280.000 407.000 298.500 444.500 0.34252
  762.000 291.500 773.000 311.000 0.33185
  287.000 413.750 303.000 447.250 0.32588
  769.500 288.250 781.500 307.750 0.29842
  987.500 459.000 1006.500 502.500 0.28464
  757.000 270.750 766.000 287.250 0.26003
  249.125 326.750 319.500 356.750 0.24930
  930.500 428.000 1025.000 514.500 0.23944
  721.500 246.625 741.500 263.000 0.22586
  1237.000 481.750 1259.000 534.500 0.22158
  905.500 344.750 919.500 376.250 0.20486
  716.000 258.250 731.000 274.750 0.20003
  393.500 294.250 426.500 317.250 0.19044
  1124.000 359.750 1140.000 389.250 0.18231
  898.500 293.000 940.500 321.000 0.16704
  730.500 251.375 744.500 265.250 0.15041
  283.250 401.250 302.250 439.250 0.14538
  977.500 334.750 1014.500 363.750 0.13737
  277.000 405.250 295.000 442.750 0.12668
  1139.000 365.000 1153.000 391.000 0.11489
  1239.000 448.250 1261.000 484.250 0.11405
  933.000 304.250 965.000 333.750 0.11340
  657.000 260.750 666.000 275.750 0.09378
  980.000 475.750 1029.000 516.000 0.09050
  983.500 390.250 1030.000 417.750 0.08959
  1189.000 430.500 1207.000 466.000 0.07700
  760.500 292.500 771.500 309.500 0.06919
  982.500 361.500 1019.500 389.000 0.06446
  895.000 348.250 907.000 375.750 0.06365
  1259.000 449.000 1279.000 483.500 0.06179
  888.000 406.750 925.000 441.750 0.05729
  995.000 446.500 1018.000 486.500 0.05619
  929.000 339.250 942.000 368.750 0.04729
  695.000 245.750 711.000 261.750 0.04611
  1232.000 482.250 1250.000 518.000 0.04042
  1185.000 428.750 1205.000 464.250 0.03987
  1070.000 381.250 1086.000 416.250 0.03561
  158.375 337.750 172.375 362.250 0.03510
  887.000 399.750 925.000 435.250 0.03232
  1180.000 424.750 1202.000 462.250 0.03166
  661.500 256.750 669.500 270.750 0.03107
  187.250 327.500 207.250 354.500 0.03051
  999.000 454.250 1019.000 494.750 0.02958
  1002.500 458.000 1021.500 495.500 0.02881
  365.250 299.500 403.750 332.500 0.02530
  1182.000 452.750 1202.000 486.250 0.02471
  39.938 263.500 87.250 282.000 0.02436
  901.000 378.500 922.000 409.500 0.02403
  692.500 276.750 699.500 288.750 0.02376
  666.000 184.875 686.000 193.375 0.02357
  38.406 265.250 63.844 281.750 0.02343
  727.500 246.625 744.500 264.250 0.02115
  187.625 326.500 211.375 351.000 0.02112
  270.500 357.750 345.000 387.250 0.02084
  691.500 277.750 699.500 291.250 0.01975
  825.000 413.250 842.000 445.750 0.01961
  662.500 184.375 683.500 193.875 0.01955
  186.875 330.000 204.875 359.500 0.01715
  1163.000 416.000 1203.000 458.000 0.01652
  93.750 35.906 131.875 56.969 0.01631
  1190.000 427.500 1206.000 458.500 0.01550
  1164.000 428.500 1186.000 464.500 0.01450
  582.000 212.750 613.000 226.500 0.01447
  716.000 260.000 729.000 279.000 0.01439
  889.000 410.000 918.000 443.500 0.01392
  429.000 331.500 444.000 357.500 0.01286
  952.500 370.000 970.500 404.500 0.01158
  576.500 471.750 594.500 516.000 0.01125
  887.000 396.000 925.000 427.000 0.01072
  1083.000 296.000 1103.000 327.500 0.01049
  148.500 255.750 181.750 274.750 0.01024
  1184.000 451.750 1210.000 490.250 0.01003
  724.500 233.500 739.500 249.000 0.00993
  865.000 346.000 892.000 370.500 0.00971
  1188.000 441.000 1206.000 472.000 0.00967
  677.000 238.750 692.000 252.000 0.00928
  1106.000 387.500 1124.000 414.000 0.00916
  822.500 406.750 838.500 439.250 0.00912
  1020.500 367.250 1033.000 391.750 0.00910
  107.562 383.750 174.750 420.250 0.00869
  1075.000 300.250 1103.000 341.250 0.00867
  1114.000 440.750 1136.000 470.750 0.00861
  1253.000 448.000 1275.000 480.000 0.00817
  208.750 329.250 223.500 350.750 0.00770
  928.500 382.750 947.500 421.250 0.00769
  211.000 316.500 221.750 337.500 0.00766
  855.500 359.250 902.500 399.750 0.00764
  1144.000 473.250 1164.000 508.250 0.00741
  1227.000 416.250 1243.000 447.750 0.00733
  945.000 269.250 968.000 287.750 0.00732
  1085.000 291.750 1099.000 315.250 0.00729
  370.500 298.250 401.500 321.750 0.00708
  1243.000 414.000 1261.000 448.000 0.00689
  361.000 361.500 376.500 390.500 0.00684
  891.000 265.000 941.000 292.500 0.00672
  9.938 440.000 123.062 487.500 0.00662
  862.500 302.000 874.500 328.000 0.00655
  200.500 328.250 215.250 349.750 0.00641
  190.125 323.250 209.875 348.750 0.00638
  670.500 184.000 693.500 194.000 0.00628
  475.500 386.750 496.500 416.750 0.00623
  430.750 334.250 444.750 360.250 0.00616
  900.000 320.500 914.000 346.000 0.00604
  589.500 212.250 631.500 225.750 0.00602
  613.000 212.750 634.000 223.500 0.00585
  367.250 307.000 405.750 339.500 0.00583
  1144.000 381.500 1166.000 407.500 0.00567
  928.000 323.500 981.000 361.500 0.00567
  1081.000 440.750 1117.000 470.250 0.00564
  890.000 410.000 938.000 441.500 0.00562
  932.000 424.750 994.000 472.250 0.00559
  280.250 398.000 300.250 430.500 0.00547
  204.750 329.750 219.750 351.250 0.00541
  638.500 210.875 666.500 223.625 0.00512
  643.000 208.750 667.000 220.250 0.00512
  855.500 344.250 891.500 371.250 0.00511
  185.375 332.000 201.375 358.500 0.00508
  253.500 252.500 291.500 277.500 0.00508
  634.000 211.250 662.000 223.500 0.00507
  394.500 309.750 434.000 337.250 0.00503
  364.250 314.250 387.750 338.250 0.00498
